Unnamed: 0,Timestamp,SLPR7:Voltage A:Angle,SLPR7:Voltage B:Angle,SLPR7:Voltage C:Angle,RAICHUR 400 KV:Frequency,SLPR7:Frequency,Raichur-SLPR1(MVAR):Analog,SLPR-RACHR1 (MVAR):Analog,RACHR-SLPR1-7 Va:Voltage A:Magnitude,RACHR-SLPR1-7 Vb:Voltage B:Magnitude,RACHR-SLPR1-7 Vc:Voltage C:Magnitude,SLPR7:Voltage A:Magnitude,SLPR7:Voltage B:Magnitude,SLPR7:Voltage C:Magnitude,Raichur-SLPR1(MW):Analog,SLPR-RACHR1 (MW):Analog,anomaly,deviation
21322,2014/12/20 05:44:08.400,-27.0909,-147.7024,92.2744,49.9575,49.957,-20514042.0,-232557504.0,443439.9375,445620.375,442120.4063,432255.4063,433226.3125,431488.4375,-191134240.0,191508336.0,1,28.596762846338166
21233,2014/12/20 05:44:04.840,27.8042,-92.8079,147.1716,49.9572,49.9571,-20477598.0,-232199824.0,443482.0313,445665.5,442164.625,432314.625,433283.4688,431559.2813,-183096848.0,184433456.0,1,28.559342774222934
21273,2014/12/20 05:44:06.440,2.9503,-117.6664,122.3139,49.957,49.9571,-16519488.0,-235237984.0,443223.2813,445385.0313,441856.875,431927.1875,432855.1875,431099.0313,-199888160.0,201621792.0,1,28.541323966489376
21364,2014/12/20 05:44:10.080,-52.829,-173.4418,66.5322,49.9576,49.9585,-14749080.0,-234983952.0,443186.375,445359.6563,441835.0313,431906.125,432856.3438,431102.2813,-204936624.0,206021600.0,1,28.521549888221468
21321,2014/12/20 05:44:08.360,-26.4777,-147.088,92.8888,49.9576,49.957,-20861808.0,-232619744.0,443440.6875,445622.4063,442120.9688,432248.3438,433212.9688,431485.875,-191178000.0,191747936.0,1,28.44659944638296
21274,2014/12/20 05:44:06.480,2.331,-118.2851,121.6939,49.957,49.9571,-16055212.0,-235352208.0,443224.8438,445387.25,441861.5625,431920.7188,432856.0938,431100.875,-199793504.0,201639392.0,1,28.395256911204722
21320,2014/12/20 05:44:08.320,-25.8576,-146.4675,93.5084,49.9573,49.9571,-20710962.0,-232745664.0,443438.7188,445619.6563,442118.3438,432242.1875,433212.2188,431485.2813,-191321952.0,192213328.0,1,28.346861051709276
21365,2014/12/20 05:44:10.120,-53.4255,-174.038,65.9361,49.9578,49.9585,-14913066.0,-235163200.0,443185.2813,445356.8125,441834.9688,431897.625,432844.375,431092.875,-206095824.0,206514160.0,1,28.325599158464946
21275,2014/12/20 05:44:06.520,1.7155,-118.8994,121.0776,49.9571,49.9572,-15854367.0,-235422736.0,443225.8125,445393.2813,441867.9063,431924.6875,432870.7813,431117.3438,-199837568.0,201546576.0,1,28.315452602749303
21276,2014/12/20 05:44:06.560,1.0965,-119.5179,120.4581,49.9572,49.9571,-15716505.0,-235444736.0,443223.0,445397.9688,441874.3438,431921.125,432873.0,431119.625,-199688480.0,201516224.0,1,28.30587336749938
21319,2014/12/20 05:44:08.280,-25.24,-145.8511,94.1248,49.9573,49.957,-20073138.0,-232744848.0,443432.8125,445615.3438,442108.4375,432230.6875,433204.375,431466.0625,-192157680.0,192754304.0,1,28.262271223060726
21277,2014/12/20 05:44:06.600,0.4782,-120.1358,119.839,49.9572,49.957,-15437030.0,-235463408.0,443219.0625,445402.3438,441879.1563,431905.9063,432868.3438,431113.3125,-199538528.0,201541040.0,1,28.24001686269355
